model,period,internal_production,external_supply,available_supply,ending_inventory,ontime_Strategic,ontime_Standard,ontime_Spot,late_Strategic,late_Standard,late_Spot,non_delivery_expired_Strategic,non_delivery_expired_Standard,non_delivery_expired_Spot,new_backlog_Strategic,new_backlog_Standard,new_backlog_Spot,terminal_non_delivery_Strategic,terminal_non_delivery_Standard,terminal_non_delivery_Spot
A_transactional_only,1,40,0,60,0,60,0,0,0,0,0,0,0,0,0,30,20,0,0,0
A_transactional_only,2,50,0,50,0,50,0,0,0,0,0,0,30,20,0,40,30,0,0,0
A_transactional_only,3,40,0,40,0,40,0,0,0,0,0,0,40,30,0,0,0,0,40,30
B_notional_only,1,60,30,110,0,60,30,20,0,0,0,0,0,0,0,0,0,0,0,0
B_notional_only,2,80,40,120,0,50,40,30,0,0,0,0,0,0,0,0,0,0,0,0
B_notional_only,3,70,40,110,0,40,40,30,0,0,0,0,0,0,0,0,0,0,0,0
C_governed_hybrid,1,80,10,110,0,60,30,20,0,0,0,0,0,0,0,0,0,0,0,0
C_governed_hybrid,2,80,40,120,0,50,40,30,0,0,0,0,0,0,0,0,0,0,0,0
C_governed_hybrid,3,80,30,110,0,40,40,30,0,0,0,0,0,0,0,0,0,0,0,0
